Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Torrey Smith,2016,WR,SF,120.87,118.87,44.70
C.J. Prosise,2016,RB,SEA,145.82,86.05,44.00
Charles Sims,2016,RB,TB,107.07,114.50,43.90
Josh Ferguson,2016,RB,IND,170.15,43.39,0.00
Jared Cook,2016,TE,GB,149.76,74.02,41.70
Justin Forsett,2016,RB,BAL,111.28,117.10,41.60
James Starks,2016,RB,GB,140.02,82.18,39.90
Jacob Tamme,2016,TE,ATL,175.10,58.83,39.00
Eddie Lacy,2016,RB,GB,20.06,179.33,38.80
Kamar Aiken,2016,WR,BAL,140.67,83.39,38.80
Dion Lewis,2016,RB,NE,67.87,140.77,37.70
Alfred Morris,2016,RB,DAL,142.32,44.27,37.40
Ladarius Green,2016,TE,PIT,129.93,69.39,36.40
Eric Decker,2016,WR,NYJ,61.76,150.55,31.40
Cameron Artis-Payne,2016,RB,CAR,148.98,28.20,27.50
Shane Vereen,2016,RB,NYG,139.61,97.64,27.20
Ameer Abdullah,2016,RB,DET,90.39,132.14,21.80
Austin Seferian-Jenkins,2016,TE,TB,157.40,43.33,21.40
Danny Woodhead,2016,RB,SD,75.31,133.43,21.10
Rueben Randle,2016,WR,PHI,999.00,10.16,0.00
Adam Vinatieri,2016,K,IND,158.78,0.00,0.00
Andrew Franks,2016,K,MIA,999.00,0.00,0.00
Arizona ,2016,DEF,ARI,999.00,0.00,0.00
Atlanta ,2016,DEF,ATL,999.00,0.00,0.00
Baltimore ,2016,DEF,BAL,999.00,0.00,0.00
Ben Watson,2016,TE,BAL,999.00,0.00,0.00
Blair Walsh,2016,K,MIN,161.78,0.00,0.00
Brandon McManus,2016,K,DEN,154.63,0.00,0.00
Buffalo ,2016,DEF,BUF,999.00,0.00,0.00
Cairo Santos,2016,K,KC,166.11,0.00,0.00
Caleb Sturgis,2016,K,PHI,999.00,0.00,0.00
Carolina ,2016,DEF,CAR,999.00,0.00,0.00
Chandler Catanzaro,2016,K,ARI,155.71,0.00,0.00
Chicago ,2016,DEF,CHI,999.00,0.00,0.00
Chris Boswell,2016,K,PIT,142.38,0.00,0.00
